period_start,post_count
2024-04-05,19
2024-04-06,5
2024-04-07,13
2024-04-08,13
2024-04-09,15
2024-04-10,4
2024-04-11,15
2024-04-12,6
2024-04-13,7
2024-04-14,6
2024-04-15,12
2024-04-16,8
2024-04-17,6
2024-04-18,13
2024-04-19,7
2024-04-20,6
2024-04-21,7
2024-04-22,10
2024-04-23,9
2024-04-24,11
2024-04-25,9
2024-04-26,4
2024-04-27,9
2024-04-28,5
2024-04-29,10
2024-04-30,8
2024-05-01,6
2024-05-02,8
2024-05-03,9
2024-05-04,9
2024-05-05,11
2024-05-06,7
2024-05-07,4
2024-05-08,4
2024-05-09,4
2024-05-10,6
2024-05-11,6
2024-05-12,10
2024-05-14,5
2024-05-15,2
2024-05-16,9
2024-05-17,11
2024-05-18,5
2024-05-19,3
2024-05-20,7
2024-05-21,1
2024-05-22,13
2024-05-23,10
2024-05-24,2
2024-05-25,5
2024-05-26,2
2024-05-27,12
2024-05-28,6
2024-05-29,7
2024-05-30,10
2024-05-31,13
2024-06-01,3
2024-06-02,2
2024-06-03,12
2024-06-04,8
2024-06-05,3
2024-06-06,19
2024-06-07,2
2024-06-08,17
2024-06-09,5
2024-06-10,10
2024-06-11,7
2024-06-12,13
2024-06-13,7
2024-06-14,23
2024-06-15,10
2024-06-16,7
2024-06-17,6
2024-06-18,22
2024-06-19,12
2024-06-20,4
2024-06-21,9
2024-06-22,9
2024-06-23,10
2024-06-24,22
2024-06-25,10
2024-06-26,4
2024-06-27,11
2024-06-28,8
2024-06-29,13
2024-06-30,12
2024-07-01,19
2024-07-02,10
2024-07-03,21
2024-07-04,14
2024-07-05,9
2024-07-06,28
2024-07-07,9
2024-07-08,11
2024-07-09,15
2024-07-10,7
2024-07-11,6
2024-07-12,17
2024-07-13,18
2024-07-14,13
2024-07-15,5
2024-07-16,15
2024-07-17,26
2024-07-18,17
2024-07-19,12
2024-07-20,6
2024-07-21,9
2024-07-22,9
2024-07-23,11
2024-07-24,7
2024-07-25,12
2024-07-26,5
2024-07-27,3
2024-07-28,9
2024-07-29,9
2024-07-30,10
2024-07-31,7
2024-08-01,5
2024-08-02,3
2024-08-03,7
2024-08-04,7
2024-08-05,9
2024-08-06,12
2024-08-07,14
2024-08-08,5
2024-08-09,7
2024-08-10,5
2024-08-11,8
2024-08-12,5
2024-08-13,14
2024-08-14,15
2024-08-15,21
2024-08-16,5
2024-08-17,10
2024-08-18,7
2024-08-19,10
2024-08-20,11
2024-08-21,10
2024-08-22,8
2024-08-23,8
2024-08-24,10
2024-08-25,10
2024-08-26,15
2024-08-27,4
2024-08-28,9
2024-08-29,7
2024-08-30,9
2024-08-31,8
2024-09-01,3
2024-09-02,14
2024-09-03,11
2024-09-04,18
2024-09-05,12
2024-09-06,15
2024-09-07,8
2024-09-08,10
2024-09-09,12
2024-09-10,16
2024-09-11,19
2024-09-12,24
2024-09-13,29
2024-09-14,17
2024-09-15,10
2024-09-16,18
2024-09-17,22
2024-09-18,20
2024-09-19,31
2024-09-20,21
2024-09-21,14
2024-09-22,5
2024-09-23,31
2024-09-24,41
2024-09-25,27
2024-09-26,36
2024-09-27,26
2024-09-28,98
2024-09-29,48
2024-09-30,36
2024-10-01,65
2024-10-02,48
2024-10-03,45
2024-10-04,43
2024-10-05,22
2024-10-06,25
2024-10-07,43
2024-10-08,81
2024-10-09,47
2024-10-10,36
2024-10-11,56
2024-10-12,28
2024-10-13,19
2024-10-14,59
2024-10-15,65
2024-10-16,41
2024-10-17,45
2024-10-18,78
2024-10-19,54
2024-10-20,36
2024-10-21,49
2024-10-22,67
2024-10-23,57
2024-10-24,45
2024-10-25,40
2024-10-26,40
2024-10-27,12
2024-10-28,45
2024-10-29,52
2024-10-30,41
2024-10-31,50
2024-11-01,20
2024-11-02,43
2024-11-03,14
2024-11-04,57
2024-11-05,34
2024-11-06,22
2024-11-07,47
2024-11-08,44
