date,ili_case,norm_post_count
2023-08-07,967.0,0.019230769230769232
2023-08-14,0.0,0.026143790849673203
2023-08-21,7130.0,0.02068345323741007
2023-08-28,21785.0,0.020202020202020204
2023-09-04,0.0,0.013422818791946308
2023-09-11,5975.0,0.019407894736842107
2023-09-18,4793.0,0.018781006378454996
2023-09-25,7255.0,0.02290781452059856
2023-10-02,47538.0,0.03074462413364137
2023-10-09,4998.0,0.021798365122615803
2023-10-16,6751.0,0.027125279642058166
2023-10-23,28351.0,0.027402459389707
2023-10-30,6808.0,0.018665061070015483
2023-11-06,44343.0,0.023361192226361897
2023-11-13,8722.0,0.019536019536019536
2023-11-20,14177.0,0.024027596050909955
2023-11-27,74454.0,0.025875556625346012
2023-12-04,18462.0,0.033633549113425275
2023-12-11,89038.0,0.029224712295578437
2023-12-18,22434.0,0.02631192121123034
2023-12-25,16545.0,0.026692836113837094
2024-01-01,12568.0,0.024429102496016993
2024-01-08,9255.0,0.02389705882352941
2024-01-15,20998.0,0.0160554643313264
2024-01-22,131259.0,0.0191625266146203
2024-01-29,128679.0,0.023887973640856673
2024-02-05,33941.0,0.02064595257563369
2024-02-12,18301.0,0.01324166030048383
2024-02-19,14714.0,0.01664190193164933
2024-02-26,47391.0,0.013702042850024913
2024-03-04,38574.0,0.01368640285629277
2024-03-11,8086.0,0.014265335235378032
2024-03-18,6988.0,0.011803458687894593
2024-03-25,3306.0,0.014144736842105264
2024-04-01,19670.0,0.013454423141607804
2024-04-08,17805.0,0.013022888713496448
2024-04-15,5326.0,0.02384393063583815
2024-07-29,1208.0,0.02207001522070015
2024-08-05,393.0,0.020608439646712464
2024-08-12,2042.0,0.01803783545974483
2024-08-19,17106.0,0.013437364542696142
2024-08-26,17530.0,0.015402387370042356
2024-09-02,21357.0,0.012129380053908356
2024-09-09,34258.0,0.016002327611288916
2024-09-16,9318.0,0.011800219538968168
2024-09-23,58803.0,0.020466901183242726
2024-09-30,6950.0,0.018120992472818512
2024-10-07,45332.0,0.018353434714210803
2024-10-14,7155.0,0.018913000199084214
2024-10-21,7498.0,0.01420405335181015
2024-10-28,23639.0,0.016339869281045753
2024-11-04,25714.0,0.017584201271473015
2024-11-11,31143.0,0.016759021489390458
2024-11-18,12964.0,0.014875560217412034
2024-11-25,13754.0,0.01380897583429229
2024-12-02,57171.0,0.01376425855513308
2024-12-09,70119.0,0.02123709472921572
2024-12-16,31285.0,0.023179791976225855
2024-12-23,35400.0,0.02869854000877248
2024-12-30,35176.0,0.023199758963543236
2025-01-06,257247.0,0.03600114744693058
2025-01-13,252772.0,0.03272167329654818
2025-01-20,350043.0,0.02694017981758577
2025-01-27,334395.0,0.02673552098313505
2025-02-03,273519.0,0.02338764305322828
2025-02-10,121472.0,0.021520280128392178
2025-02-17,23331.0,0.016893859955726436
2025-02-24,9016.0,0.015981937311846998
2025-03-03,38792.0,0.01236711702172716
2025-03-10,6225.0,0.010665897953300663
2025-03-17,31496.0,0.01385064321236283
2025-03-24,6954.0,0.009744066631625763
