period_start,post_count
2022-12-21,7
2022-12-22,5
2022-12-23,5
2022-12-24,2
2022-12-25,3
2022-12-26,2
2022-12-27,6
2022-12-28,1
2022-12-29,3
2022-12-30,5
2022-12-31,6
2023-01-01,3
2023-01-02,3
2023-01-03,31
2023-01-04,13
2023-01-05,7
2023-01-06,8
2023-01-07,3
2023-01-08,5
2023-01-09,5
2023-01-10,7
2023-01-11,7
2023-01-12,8
2023-01-13,6
2023-01-14,4
2023-01-15,1
2023-01-16,9
2023-01-17,3
2023-01-18,6
2023-01-19,9
2023-01-20,6
2023-01-21,4
2023-01-22,5
2023-01-23,7
2023-01-24,8
2023-01-25,10
2023-01-26,8
2023-01-27,12
2023-01-28,11
2023-01-29,7
2023-01-30,5
2023-01-31,3
2023-02-01,12
2023-02-02,8
2023-02-03,13
2023-02-04,4
2023-02-05,2
2023-02-06,8
2023-02-07,4
2023-02-08,4
2023-02-09,7
2023-02-10,9
2023-02-11,8
2023-02-12,4
2023-02-13,7
2023-02-14,3
2023-02-15,11
2023-02-16,6
2023-02-17,2
2023-02-18,5
2023-02-19,4
2023-02-20,3
2023-02-21,4
2023-02-22,6
2023-02-23,12
2023-02-24,6
2023-02-25,5
2023-02-26,6
2023-02-27,5
2023-02-28,9
2023-03-01,4
2023-03-02,12
2023-03-03,22
2023-03-04,3
2023-03-05,3
2023-03-06,7
2023-03-07,6
2023-03-08,3
2023-03-09,8
2023-03-10,4
2023-03-11,1
2023-03-12,6
2023-03-13,3
2023-03-14,11
2023-03-15,13
2023-03-16,10
2023-03-17,9
2023-03-18,5
2023-03-19,8
2023-03-20,10
2023-03-21,7
2023-03-22,7
2023-03-23,8
2023-03-24,8
2023-03-25,6
2023-03-26,2
2023-03-27,4
2023-03-28,2
2023-03-29,8
2023-03-30,13
2023-03-31,4
2023-04-01,10
2023-04-02,4
2023-04-03,3
2023-04-04,2
2023-04-05,9
2023-04-06,8
2023-04-07,8
2023-04-08,4
2023-04-09,4
2023-04-10,26
2023-04-11,9
2023-04-12,21
2023-04-13,10
2023-04-14,10
2023-04-15,26
2023-04-16,9
2023-04-17,9
2023-04-18,11
2023-04-19,10
2023-04-20,13
2023-04-21,17
2023-04-22,6
2023-04-23,4
2023-04-24,28
2023-04-25,29
2023-04-26,30
2023-04-27,41
2023-04-28,58
2023-04-29,36
2023-04-30,42
2023-05-01,45
2023-05-02,52
2023-05-03,63
2023-05-04,62
2023-05-05,49
2023-05-06,38
2023-05-07,33
2023-05-08,44
2023-05-09,41
2023-05-10,40
2023-05-11,51
2023-05-12,44
2023-05-13,29
2023-05-14,28
2023-05-15,29
2023-05-16,50
2023-05-17,53
2023-05-18,30
2023-05-19,30
2023-05-20,22
2023-05-21,23
2023-05-22,42
2023-05-23,64
2023-05-24,57
2023-05-25,55
2023-05-26,45
2023-05-27,24
2023-05-28,30
2023-05-29,32
2023-05-30,31
2023-05-31,40
2023-06-01,23
2023-06-02,44
2023-06-03,47
2023-06-04,28
2023-06-05,41
2023-06-06,37
2023-06-07,36
2023-06-08,55
2023-06-10,22
2023-06-11,28
2023-06-12,38
2023-06-13,41
2023-06-14,33
2023-06-15,41
2023-06-16,38
2023-06-17,37
2023-06-18,33
2023-06-19,45
2023-06-20,98
2023-06-22,59
2023-06-23,51
2023-06-24,53
2023-06-25,36
2023-06-26,60
2023-06-27,57
2023-06-28,69
2023-06-29,62
2023-06-30,66
2023-07-01,504
2023-07-02,170
2023-07-03,149
2023-07-04,145
2023-07-05,166
2023-07-06,149
2023-07-07,164
2023-07-08,111
2023-07-09,116
2023-07-10,110
2023-07-11,133
2023-07-12,114
2023-07-13,86
2023-07-14,87
2023-07-15,63
2023-07-16,68
2023-07-17,102
2023-07-18,100
2023-07-19,103
2023-07-20,89
2023-07-21,79
2023-07-22,96
2023-07-23,88
2023-07-24,197
2023-07-25,100
2023-07-26,120
2023-07-27,128
2023-07-28,177
2023-07-29,99
2023-07-30,111
2023-07-31,221
2023-08-01,99
2023-08-02,228
2023-08-03,99
2023-08-04,188
2023-08-05,106
2023-08-06,95
