period_start,post_count
2023-10-10,48
2023-10-11,63
2023-10-12,65
2023-10-13,66
2023-10-14,78
2023-10-15,63
2023-10-16,67
2023-10-17,64
2023-10-18,84
2023-10-19,87
2023-10-20,102
2023-10-21,74
2023-10-22,86
2023-10-23,87
2023-10-24,93
2023-10-25,78
2023-10-26,86
2023-10-27,155
2023-10-28,108
2023-10-29,105
2023-10-30,94
2023-10-31,101
2023-11-01,103
2023-11-02,102
2023-11-03,77
2023-11-04,88
2023-11-05,98
2023-11-06,79
2023-11-07,109
2023-11-08,84
2023-11-09,90
2023-11-10,81
2023-11-11,51
2023-11-12,71
2023-11-13,74
2023-11-14,89
2023-11-15,67
2023-11-16,84
2023-11-17,197
2023-11-18,169
2023-11-19,90
2023-11-20,99
2023-11-21,88
2023-11-22,85
2023-11-23,77
2023-11-24,87
2023-11-25,58
2023-11-26,56
2023-11-27,67
2023-11-28,71
2023-11-29,108
2023-11-30,85
2023-12-01,70
2023-12-02,66
2023-12-03,47
2023-12-04,47
2023-12-05,52
2023-12-06,56
2023-12-07,62
2023-12-08,54
2023-12-09,46
2023-12-10,49
2023-12-11,74
2023-12-12,44
2023-12-13,49
2023-12-14,80
2023-12-15,63
2023-12-16,31
2023-12-17,38
2023-12-18,40
2023-12-19,64
2023-12-20,62
2023-12-21,57
2023-12-22,64
2023-12-23,53
2023-12-24,50
2023-12-25,49
2023-12-26,43
2023-12-27,42
2023-12-28,50
2023-12-29,85
2023-12-30,42
2023-12-31,43
2024-01-01,41
2024-01-02,45
2024-01-03,36
2024-01-04,59
2024-01-05,58
2024-01-06,37
2024-01-07,50
2024-01-08,64
2024-01-09,60
2024-01-10,56
2024-01-11,49
2024-01-12,65
2024-01-13,64
2024-01-14,45
2024-01-15,59
2024-01-16,45
2024-01-17,56
2024-01-18,62
2024-01-19,63
2024-01-20,42
2024-01-21,45
2024-01-22,30
2024-01-23,45
2024-01-24,36
2024-01-25,35
2024-01-26,36
2024-01-27,30
2024-01-28,30
2024-01-29,53
2024-01-30,40
2024-01-31,41
2024-02-01,34
2024-02-02,36
2024-02-03,36
2024-02-04,43
2024-02-05,72
2024-02-06,35
2024-02-07,51
2024-02-08,38
2024-02-09,55
2024-02-10,57
2024-02-11,38
2024-02-12,78
2024-02-13,56
2024-02-14,47
2024-02-15,49
2024-02-16,52
2024-02-17,24
2024-02-18,51
2024-02-19,40
2024-02-20,36
2024-02-21,48
2024-02-22,36
2024-02-23,38
2024-02-24,38
2024-02-25,37
2024-02-26,65
2024-02-27,32
2024-02-28,65
2024-02-29,44
2024-03-01,38
2024-03-02,33
2024-03-03,30
2024-03-04,28
2024-03-05,43
2024-03-06,30
2024-03-07,36
2024-03-08,38
2024-03-09,35
2024-03-10,31
2024-03-11,55
2024-03-12,44
2024-03-13,44
2024-03-14,52
