variable,value
season_lag2,1.5187674642362872
season_lag2,1.7515668135353941
season_lag2,1.992325404256352
season_lag2,2.221867081186492
season_lag2,1.701126364605333
season_lag2,1.5257127967674116
season_lag2,1.5033686654414957
season_lag2,1.8335394954585453
season_lag2,1.885582774943451
season_lag2,0.9681916136312765
season_lag2,1.918125709127132
season_lag2,1.232748839552901
season_lag2,1.4059323558908652
season_lag2,0.7133987974781348
season_lag2,1.3623502904585756
season_lag2,1.612808517271258
season_lag2,1.5944373131571652
season_lag2,1.6433169859359325
season_lag2,1.3933305390563682
season_lag2,1.7662131590469237
season_lag2,1.99500254777017
season_lag2,0.4055356037168494
season_lag2,1.3212959520653413
season_lag2,1.23816230085745
season_lag2,0.6141359390208407
norm_post_count_lag2,2.5341476553204814
norm_post_count_lag2,2.056675214849381
norm_post_count_lag2,2.4837492905881824
norm_post_count_lag2,1.7820953122716787
norm_post_count_lag2,2.3139324946711604
norm_post_count_lag2,1.63121945086651
norm_post_count_lag2,2.2592921536999206
norm_post_count_lag2,2.1187604014896557
norm_post_count_lag2,2.2862254533000446
norm_post_count_lag2,2.149049973395467
norm_post_count_lag2,1.931497974700978
norm_post_count_lag2,2.2771568572259717
norm_post_count_lag2,2.0229348867273984
norm_post_count_lag2,1.545036085713953
norm_post_count_lag2,1.8708678550977815
norm_post_count_lag2,1.3920907464490462
norm_post_count_lag2,2.132613124917441
norm_post_count_lag2,1.8030287869234094
norm_post_count_lag2,1.7303421233539176
norm_post_count_lag2,1.781190271760078
norm_post_count_lag2,1.5736541332792449
norm_post_count_lag2,2.393835582195411
norm_post_count_lag2,2.403963783745322
norm_post_count_lag2,2.1515317825371767
norm_post_count_lag2,2.429086879115502
control_posts,2.545615652857716
control_posts,4.022946374009063
control_posts,2.4862946824586594
control_posts,4.46672850834922
control_posts,2.51881642719286
control_posts,3.475119708091899
control_posts,4.610995772059951
control_posts,3.7341963162523584
control_posts,2.477752346511341
control_posts,4.206199233317417
control_posts,3.391920240548245
control_posts,3.0644118633928485
control_posts,4.254488805028608
control_posts,2.036056233084082
control_posts,2.995822656937488
control_posts,3.803626228416526
control_posts,3.0831675482750143
control_posts,2.783282172088306
control_posts,4.13022578492183
control_posts,3.6768172481520978
control_posts,3.9337547753273014
control_posts,3.340141788469335
control_posts,2.422988683986695
control_posts,3.6843092069424443
control_posts,2.5598157743775225
season_lag1,4.592003671395929
season_lag1,4.03926384393262
season_lag1,5.363298438444531
season_lag1,5.044609264614056
season_lag1,4.030083855890155
season_lag1,4.777454820304111
season_lag1,5.222948213115572
season_lag1,4.026101549935458
season_lag1,4.867903682141364
season_lag1,2.922445475692143
season_lag1,5.742957066353721
season_lag1,4.0910585863283515
season_lag1,4.82452581444889
season_lag1,4.165351600574198
season_lag1,3.285153989269297
season_lag1,4.1553430826104645
season_lag1,3.534347220836729
season_lag1,5.425095801573587
season_lag1,3.8053301369064663
season_lag1,4.244301253170807
season_lag1,5.163399634057136
season_lag1,1.992325680394213
season_lag1,4.914633847507812
season_lag1,3.1635835403977772
season_lag1,4.008786096170123
month_lag1,4.669860283872371
month_lag1,5.898242867657018
month_lag1,6.248525153319225
month_lag1,5.070131327675284
month_lag1,5.19363814956731
month_lag1,5.2092974211754175
month_lag1,5.026860060673673
month_lag1,3.867286198800457
month_lag1,4.866263313235734
month_lag1,4.394453606923946
month_lag1,5.833594132539062
month_lag1,6.015804218492406
month_lag1,3.544544459496855
month_lag1,4.772923382833422
month_lag1,5.164084385907657
month_lag1,5.563605692995026
month_lag1,4.237751146047152
month_lag1,5.584921605650642
month_lag1,4.444362048502516
month_lag1,4.32551755188944
month_lag1,5.07059594575929
month_lag1,5.82155914382551
month_lag1,5.478230322989301
month_lag1,5.082785114626674
month_lag1,5.876274626894741
ili_posts_lag2,4.883283529777458
ili_posts_lag2,6.292361630398663
ili_posts_lag2,7.209496214248837
ili_posts_lag2,5.707813714380354
ili_posts_lag2,5.413283931030012
ili_posts_lag2,4.372571005565142
ili_posts_lag2,4.543521571845446
ili_posts_lag2,3.8107772496929435
ili_posts_lag2,6.718863110736585
ili_posts_lag2,4.756960509992563
ili_posts_lag2,5.452073225743451
ili_posts_lag2,7.35724073308198
ili_posts_lag2,4.86929262368886
ili_posts_lag2,5.714147518179768
ili_posts_lag2,5.594650642434523
ili_posts_lag2,6.7068593446649984
ili_posts_lag2,7.173457092685933
ili_posts_lag2,6.595279601802435
ili_posts_lag2,5.035422489446685
ili_posts_lag2,5.142276308471946
ili_posts_lag2,6.08185461645818
ili_posts_lag2,6.614354433116279
ili_posts_lag2,5.730200890619159
ili_posts_lag2,6.396063178076396
ili_posts_lag2,5.720122896028236
control_posts_lag2,5.1371966839508865
control_posts_lag2,5.849988425558845
control_posts_lag2,7.142087083190852
control_posts_lag2,5.872981460983482
control_posts_lag2,6.480768316804323
control_posts_lag2,6.586198939011162
control_posts_lag2,5.046093786866116
control_posts_lag2,5.188315969557216
control_posts_lag2,6.588106173095142
control_posts_lag2,5.844145326382961
control_posts_lag2,4.992924041056533
control_posts_lag2,6.2324679321298895
control_posts_lag2,4.17767798884762
control_posts_lag2,4.58232507280011
control_posts_lag2,5.927481182709329
control_posts_lag2,6.990809191339739
control_posts_lag2,5.913720613582399
control_posts_lag2,7.0275804576588285
control_posts_lag2,4.549728654192631
control_posts_lag2,6.370167879305619
control_posts_lag2,6.909232078467191
control_posts_lag2,6.088970844573343
control_posts_lag2,5.500291602290439
control_posts_lag2,4.326992983993559
control_posts_lag2,7.393313011169411
month_lag2,9.393060094055706
month_lag2,11.720828351876872
month_lag2,11.85174143016049
month_lag2,11.697741408246529
month_lag2,7.188649681178649
month_lag2,9.923824598931763
month_lag2,10.192982378064286
month_lag2,9.156221275729408
month_lag2,11.160152748504299
month_lag2,8.755641412546474
month_lag2,11.507754558196535
month_lag2,10.597823746412846
month_lag2,8.084528011446718
month_lag2,9.105427736298495
month_lag2,9.828458116612744
month_lag2,11.236897545576138
month_lag2,9.085552914360875
month_lag2,9.707791607524626
month_lag2,10.347969374577332
month_lag2,6.761950492473513
month_lag2,8.642283715235806
month_lag2,9.797025694208937
month_lag2,9.696384605165587
month_lag2,10.384969899302135
month_lag2,9.416769380931672
ili_posts,14.897057480902877
ili_posts,15.814777190813896
ili_posts,15.006536044484012
ili_posts,18.881732848453236
ili_posts,16.713251511628467
ili_posts,14.62257843838535
ili_posts,15.82181345240404
ili_posts,12.716650947213385
ili_posts,17.492085623108213
ili_posts,15.001088018287259
ili_posts,15.505048174987277
ili_posts,19.023426584546225
ili_posts,17.160838293556868
ili_posts,13.029158665207508
ili_posts,16.552421866665423
ili_posts,19.059248877977662
ili_posts,14.054798703228062
ili_posts,12.973696974235356
ili_posts,16.29736144965376
ili_posts,13.399485061170125
ili_posts,13.270887827779024
ili_posts,14.136321965704642
ili_posts,19.00606587457523
ili_posts,17.172639969003807
ili_posts,16.583898407744318
season,30.91732061828483
season,32.484310574465766
season,35.0929430291111
season,32.16812096617355
season,20.051655840287655
season,27.11697077274351
season,30.571331720428606
season,28.748421832345425
season,32.07074667070805
season,28.543614279822595
season,32.816549879006345
season,27.787805513996172
season,33.00920661875908
season,29.062700000940996
season,33.53653902954011
season,32.06411206337364
season,30.809875550354743
season,32.931610837602804
season,29.449288174707693
season,29.770034627094777
season,32.72307370884923
season,31.854009560429564
season,33.34923234595871
season,28.73023353136688
season,31.752383000592058
