date,lang,target,cv_preds,abs_diff
2023-08-07,fr,22.309260999215358,,
2023-08-14,fr,29.170718705619755,,
2023-08-21,fr,40.62781408524548,,
2023-08-28,fr,48.29533688751662,,
2023-09-04,fr,58.27896355692848,,
2023-09-11,fr,74.79339363065951,,
2023-09-18,fr,96.32858833743573,,
2023-09-25,fr,109.7147544379826,,
2023-10-02,fr,104.97740777815332,,
2023-10-09,fr,88.92162722021793,,
2023-10-16,fr,86.61314211579806,,
2023-10-23,fr,68.54143694192372,,
2023-10-30,fr,76.11448708645622,,
2023-11-06,fr,109.7147544379826,,
2023-11-13,fr,127.83369594072627,,
2023-11-20,fr,169.05729727074282,,
2023-11-27,fr,189.2561609962806,,
2023-12-04,fr,224.83273539759747,,
2023-12-11,fr,225.47118771360533,,
2023-12-18,fr,226.66580970823583,,
2023-12-25,fr,175.91113621442636,,
2024-01-01,fr,183.44239236135726,,
2024-01-08,fr,196.60715496265297,,
2024-01-15,fr,248.28344300449928,,
2024-01-22,fr,323.8346287695677,,
2024-01-29,fr,328.45376377251455,,
2024-02-05,fr,288.6951782078537,,
2024-02-12,fr,209.7339437477456,,
2024-02-19,fr,158.8308026037947,,
2024-02-26,fr,108.02943128726817,,
2024-03-04,fr,91.29968682082405,,
2024-03-11,fr,76.35471171592633,,
2024-03-18,fr,61.72871666713476,,
2024-03-25,fr,53.30004842269147,,
2024-04-01,fr,48.322440594787224,,
2024-04-08,fr,46.012113616989744,,
2024-04-15,fr,52.42816960266796,,
2024-04-22,fr,51.56935377541832,,
2024-04-29,fr,50.710537948168685,,
2024-05-06,fr,49.85172212091905,,
2024-05-13,fr,48.992906293669414,,
2024-05-20,fr,48.13409046641977,,
2024-05-27,fr,47.275274639170135,,
2024-06-03,fr,46.4164588119205,,
2024-06-10,fr,45.55764298467086,,
2024-06-17,fr,44.69882715742123,,
2024-06-24,fr,43.84001133017159,,
2024-07-01,fr,42.981195502921956,,
2024-07-08,fr,42.12237967567232,25.267569885730147,16.854809789942173
2024-07-15,fr,41.263563848422685,27.71148315029091,13.552080698131775
2024-07-22,fr,40.40474802117304,26.67080566629471,13.73394235487833
2024-07-29,fr,39.545932193923406,26.389203108324985,13.156729085598421
2024-08-05,fr,35.219955052064606,29.25114927649186,5.968805775572747
2024-08-12,fr,31.325360462273185,25.856445104077604,5.468915358195581
2024-08-19,fr,40.581857899944374,31.184932477830856,9.396925422113519
2024-08-26,fr,41.70132600161219,28.751426422792893,12.949899578819295
2024-09-02,fr,51.12338927792894,43.10153295437032,8.021856323558623
2024-09-09,fr,85.76006651311371,84.96865984100926,0.7914066721044577
2024-09-16,fr,139.4185877607626,148.93975067340853,9.521162912645948
2024-09-23,fr,139.2271997270989,173.21498792248278,33.98778819538387
2024-09-30,fr,129.05781174790482,193.64824530262882,64.59043355472402
2024-10-07,fr,120.65800360377592,180.8975614190792,60.239557815303286
2024-10-14,fr,102.96220525312457,139.65740046202035,36.6951952088958
2024-10-21,fr,70.74066272845788,93.43522860957886,22.69456588112098
2024-10-28,fr,54.7415344857617,44.141950313207666,10.599584172554032
2024-11-04,fr,71.91785103075443,24.344418185904914,47.57343284484952
2024-11-11,fr,85.66741040157812,16.404206747685336,69.26320365389279
2024-11-18,fr,115.87482171483161,74.30686605521797,41.567955659613645
2024-11-25,fr,132.72760134577382,71.1237489533368,61.60385239243702
2024-12-02,fr,164.7866159370912,184.44523946501968,19.658623527928484
2024-12-09,fr,207.63171328274117,209.5102413254603,1.8785280427191253
2024-12-16,fr,306.36819226878316,330.7945104553309,24.426318186547746
2024-12-23,fr,306.4122418955788,287.6019698043045,18.810272091274328
2024-12-30,fr,350.07353238993943,438.06230264787877,87.98877025793934
2025-01-06,fr,388.92573920299697,454.4085410109695,65.48280180797252
2025-01-13,fr,382.16009107907945,484.1644760370449,102.00438495796541
2025-01-20,fr,529.2218472045726,657.1546585845919,127.9328113800193
2025-01-27,fr,505.56400098265937,622.7560028009477,117.19200181828836
2025-02-03,fr,413.52699647056926,634.7360545183631,221.20905804779375
2025-02-10,fr,315.90965514833846,477.77979478177826,161.8701396334398
2025-02-17,fr,205.64546543357804,254.28598302504733,48.64051759146929
2025-02-24,fr,127.80044727661951,53.518940022829696,74.28150725378981
2025-03-03,fr,91.21756735384133,-76.39400057756987,167.6115679314112
2025-03-10,fr,89.90979402932989,-105.66639650049088,195.57619052982076
2025-03-17,fr,79.43853617318402,-29.525639181365705,108.96417535454972
2025-03-24,fr,59.98068335646479,47.37951051136444,12.60117284510035
2025-03-31,fr,57.25476971011322,45.4266857047469,11.828084005366321
2025-04-07,fr,58.68046941533205,40.54254890813377,18.13792050719828
2025-04-14,fr,,,13.033333696944752
2025-04-21,fr,,,8.041933423214367
