variable,value
ili_posts,10.84281913577962
ili_posts,15.429349616572608
ili_posts,18.298984217927824
ili_posts,20.124505790526086
ili_posts,14.717421790733681
ili_posts,15.956804986435571
ili_posts,15.260239786617035
ili_posts,21.228498766829716
ili_posts,15.171627664805243
ili_posts,17.504640468257804
ili_posts,25.10927676172807
ili_posts,17.529949095737777
ili_posts,23.25831351533202
ili_posts,20.12832105072647
ili_posts,18.636825463096898
ili_posts,24.936000934856423
ili_posts,13.124178054676662
ili_posts,12.359352455985572
ili_posts,12.363805762819055
ili_posts,16.422269508361126
ili_posts,14.459073130672977
ili_posts,20.753557722149708
ili_posts,10.730148677769648
ili_posts,19.196193309115614
ili_posts,19.00949044915012
ili_posts_lag2,16.84028900390564
ili_posts_lag2,18.075263660441465
ili_posts_lag2,21.283605751713253
ili_posts_lag2,18.875289501390995
ili_posts_lag2,21.134110294231704
ili_posts_lag2,11.927686241017142
ili_posts_lag2,18.108011659446362
ili_posts_lag2,19.14576088677373
ili_posts_lag2,14.750870488714583
ili_posts_lag2,12.848223040054421
ili_posts_lag2,21.798492636208692
ili_posts_lag2,20.343769063256303
ili_posts_lag2,21.560062531439826
ili_posts_lag2,17.280941778302406
ili_posts_lag2,17.803173536509718
ili_posts_lag2,26.099298994333452
ili_posts_lag2,11.879496174832525
ili_posts_lag2,16.688614926474486
ili_posts_lag2,14.915451022774022
ili_posts_lag2,21.445632392120615
ili_posts_lag2,14.461603176441173
ili_posts_lag2,26.09194020624858
ili_posts_lag2,12.936075862145259
ili_posts_lag2,25.101770766017466
ili_posts_lag2,21.529568146102662
season,23.482384805177247
season,28.096362256099894
season,31.532773003854714
season,27.320250936193275
season,26.129011220178455
season,12.011273179249372
season,21.34633672913563
season,32.6497427194644
season,26.887738590979467
season,24.041622381753285
season,27.123814856591594
season,35.73156571817114
season,27.127077964726595
season,23.115079234386627
season,30.42239311383048
season,32.01760657299161
season,20.665894235090832
season,35.23703194323721
season,27.424614874565634
season,28.11857447573601
season,26.37032468093662
season,35.641540252390485
season,27.606956990110206
season,35.04682911594929
season,29.041514219879616
control_posts_lag1,30.578152745369493
control_posts_lag1,21.190328912505066
control_posts_lag1,33.14833824125523
control_posts_lag1,33.30845717222155
control_posts_lag1,29.879799881764058
control_posts_lag1,23.588232776385013
control_posts_lag1,23.82563602276113
control_posts_lag1,35.86380622399594
control_posts_lag1,23.677413550185946
control_posts_lag1,25.334842288157915
control_posts_lag1,40.087579888336336
control_posts_lag1,28.90530118663486
control_posts_lag1,40.04632764666724
control_posts_lag1,27.994411967330336
control_posts_lag1,29.329727932200882
control_posts_lag1,41.00222857367223
control_posts_lag1,25.28899304260355
control_posts_lag1,24.9090904614867
control_posts_lag1,28.377156029821492
control_posts_lag1,35.70821358152949
control_posts_lag1,20.583270675468185
control_posts_lag1,32.338478711926996
control_posts_lag1,21.73316246106694
control_posts_lag1,34.707791159416644
control_posts_lag1,23.552420274507824
year_lag1,32.149742770249134
year_lag1,22.40597667867982
year_lag1,37.43178130506698
year_lag1,37.91048021868269
year_lag1,28.699552822817054
year_lag1,36.25457855507088
year_lag1,30.140456730828845
year_lag1,35.75492070874739
year_lag1,22.26775029769709
year_lag1,33.71704565101044
year_lag1,31.852536431732517
year_lag1,29.362486687930755
year_lag1,30.5452791214189
year_lag1,38.85990327324029
year_lag1,21.540278916336973
year_lag1,34.44789408309674
year_lag1,38.29544264732732
year_lag1,21.241505077424392
year_lag1,25.418687707087884
year_lag1,29.376170904046916
year_lag1,26.299668340672213
year_lag1,29.976474123934906
year_lag1,23.56934832396712
year_lag1,26.35373078626995
year_lag1,21.285733158352002
control_posts,22.534557249117313
